listing_id,farmer_id,crop,listed_date,harvest_date,market_price_ref,listing_price,quantity_kg,shelf_life_days
LST-000000,FARM-0000,Tomato,2023-07-31,2023-07-31,16,16.8,150,7
LST-000001,FARM-0000,Tomato,2023-06-04,2023-06-04,16,16.65,20,7
LST-000002,FARM-0000,Tomato,2023-07-30,2023-07-29,16,15.26,181,7
LST-000003,FARM-0000,Tomato,2023-08-02,2023-08-01,16,15.73,114,7
LST-000004,FARM-0000,Tomato,2023-01-08,2023-01-07,16,14.52,122,7
LST-000005,FARM-0000,Tomato,2023-03-20,2023-03-20,16,15.09,79,7
LST-000006,FARM-0000,Tomato,2023-05-14,2023-05-14,16,17.01,27,7
LST-000007,FARM-0000,Tomato,2023-02-12,2023-02-11,16,15.82,174,7
LST-000008,FARM-0000,Tomato,2023-03-01,2023-02-28,16,16.51,107,7
LST-000009,FARM-0000,Tomato,2023-02-16,2023-02-16,16,13.23,75,7
LST-000010,FARM-0000,Tomato,2023-12-26,2023-12-26,16,15.22,197,7
LST-000011,FARM-0000,Tomato,2023-11-23,2023-11-22,16,17.13,132,7
LST-000012,FARM-0000,Tomato,2023-12-24,2023-12-23,16,12.99,39,7
LST-000013,FARM-0000,Tomato,2023-07-12,2023-07-12,16,16.09,39,7
LST-000014,FARM-0000,Tomato,2023-10-10,2023-10-10,16,16.43,177,7
LST-000015,FARM-0000,Tomato,2023-11-21,2023-11-20,16,14.03,85,7
LST-000016,FARM-0000,Tomato,2023-09-18,2023-09-18,16,15.62,83,7
LST-000017,FARM-0000,Tomato,2023-12-10,2023-12-09,16,15.5,57,7
LST-000018,FARM-0000,Tomato,2023-05-15,2023-05-15,16,16.28,61,7
LST-000019,FARM-0000,Tomato,2023-03-02,2023-03-01,16,17.33,47,7
LST-000020,FARM-0000,Tomato,2023-05-19,2023-05-18,16,15.63,29,7
LST-000021,FARM-0000,Tomato,2023-05-24,2023-05-24,16,14.57,125,7
LST-000022,FARM-0000,Tomato,2023-04-27,2023-04-26,16,14.65,172,7
LST-000023,FARM-0000,Tomato,2023-08-18,2023-08-18,16,16.78,47,7
LST-000024,FARM-0000,Tomato,2023-09-11,2023-09-10,16,16.64,75,7
LST-000025,FARM-0000,Tomato,2023-12-15,2023-12-15,16,15.13,117,7
LST-000026,FARM-0000,Tomato,2023-12-12,2023-12-12,16,17.89,112,7
LST-000027,FARM-0000,Tomato,2023-10-12,2023-10-11,16,17.98,51,7
LST-000028,FARM-0000,Tomato,2023-06-26,2023-06-25,16,18.83,140,7
LST-000029,FARM-0000,Tomato,2023-05-30,2023-05-30,16,15.38,33,7
LST-000030,FARM-0000,Tomato,2023-02-07,2023-02-06,16,14.67,100,7
LST-000031,FARM-0000,Tomato,2023-07-18,2023-07-18,16,15.93,144,7
LST-000032,FARM-0000,Tomato,2023-09-07,2023-09-06,16,16.44,150,7
LST-000033,FARM-0000,Tomato,2023-12-27,2023-12-26,16,14.38,182,7
LST-000034,FARM-0000,Tomato,2023-03-29,2023-03-29,16,13.45,194,7
LST-000035,FARM-0000,Tomato,2023-05-26,2023-05-26,16,18.64,162,7
LST-000036,FARM-0000,Tomato,2023-01-11,2023-01-11,16,17.62,132,7
LST-000037,FARM-0000,Tomato,2023-07-26,2023-07-25,16,15.5,178,7
LST-000038,FARM-0000,Tomato,2023-11-12,2023-11-11,16,17.59,193,7
LST-000039,FARM-0000,Tomato,2023-11-08,2023-11-07,16,18.1,82,7
LST-000040,FARM-0000,Bhindi (Ladies finger),2023-01-04,2023-01-04,30,27.94,140,4
LST-000041,FARM-0000,Bhindi (Ladies finger),2023-02-26,2023-02-25,32,31.33,11,4
LST-000042,FARM-0000,Bhindi (Ladies finger),2023-11-10,2023-11-10,22,22.66,96,4
LST-000043,FARM-0000,Bhindi (Ladies finger),2023-02-08,2023-02-07,40,37.76,18,4
LST-000044,FARM-0000,Bhindi (Ladies finger),2023-12-28,2023-12-27,45,48.27,13,4
LST-000045,FARM-0000,Bhindi (Ladies finger),2023-04-26,2023-04-25,27,26.44,64,4
LST-000046,FARM-0000,Bhindi (Ladies finger),2023-12-22,2023-12-22,55,56.76,39,4
LST-000047,FARM-0000,Bhindi (Ladies finger),2023-06-30,2023-06-29,20,20.86,153,4
LST-000048,FARM-0000,Bhindi (Ladies finger),2023-06-18,2023-06-17,27,24.13,113,4
LST-000049,FARM-0000,Bhindi (Ladies finger),2023-01-31,2023-01-30,40,37.16,151,4
LST-000050,FARM-0000,Bhindi (Ladies finger),2023-12-11,2023-12-10,60,61.3,14,4
LST-000051,FARM-0000,Bhindi (Ladies finger),2023-09-19,2023-09-18,23,24.53,55,4
