order_id,consumer_id,listing_id,farmer_id,crop,order_date,quantity_kg,unit_price,order_value,distance_km
ORD-000000,CONS-0739,LST-000396,FARM-0005,Onion,2023-10-07,4,29.32,117.28,7.7
ORD-000001,CONS-0410,LST-010366,FARM-0133,Potato,2023-03-15,3,15.06,45.18,7.7
ORD-000002,CONS-0562,LST-002344,FARM-0029,Bhindi (Ladies finger),2023-11-07,9,26.71,240.39,6.8
ORD-000003,CONS-0650,LST-006758,FARM-0088,Brinjal,2023-02-06,8,33.71,269.68,5.9
ORD-000004,CONS-0534,LST-006504,FARM-0086,Tomato,2023-09-25,1,15.69,15.69,2.9
ORD-000005,CONS-0633,LST-003539,FARM-0046,Methi,2023-07-20,2,13.87,27.74,17.8
ORD-000006,CONS-0405,LST-010065,FARM-0128,Methi,2023-04-06,7,12.02,84.14,19.5
ORD-000007,CONS-0412,LST-000411,FARM-0005,Elephant Yam (Suran),2023-05-24,6,22.62,135.72,4.9
ORD-000008,CONS-0520,LST-003106,FARM-0041,Onion,2023-06-07,7,14.98,104.86,11.8
ORD-000009,CONS-0368,LST-007150,FARM-0093,Tomato,2023-09-19,3,15.46,46.38,9.5
ORD-000010,CONS-0311,LST-001545,FARM-0019,Brinjal,2023-02-22,9,21.4,192.6,3.1
ORD-000011,CONS-0474,LST-007834,FARM-0104,Potato,2023-03-26,7,14.48,101.36,7.6
ORD-000012,CONS-0553,LST-005132,FARM-0064,Tomato,2023-05-10,4,16.64,66.56,3.7
ORD-000013,CONS-0728,LST-008810,FARM-0116,Methi,2023-08-07,6,9.43,56.58,13.8
ORD-000014,CONS-0732,LST-010508,FARM-0135,Onion,2023-03-12,2,13.03,26.06,14.3
ORD-000015,CONS-0414,LST-005145,FARM-0064,Tomato,2023-10-11,9,16.31,146.79,9.2
ORD-000016,CONS-0637,LST-000136,FARM-0001,Methi,2023-07-19,2,13.84,27.68,12.8
ORD-000017,CONS-0006,LST-004464,FARM-0056,Bhindi (Ladies finger),2023-06-06,1,21.3,21.3,13.5
ORD-000018,CONS-0314,LST-010470,FARM-0135,Potato,2023-10-25,2,23.34,46.68,12.9
ORD-000019,CONS-0583,LST-010378,FARM-0133,Potato,2023-03-20,5,12.09,60.45,9.6
ORD-000020,CONS-0089,LST-009621,FARM-0123,Methi,2023-07-20,6,14.78,88.68,5.8
ORD-000021,CONS-0247,LST-010529,FARM-0135,Tomato,2023-08-19,7,17.44,122.08,9.4
ORD-000022,CONS-0319,LST-001479,FARM-0017,Methi,2023-10-09,5,24.11,120.55,14.8
ORD-000023,CONS-0235,LST-010735,FARM-0138,Methi,2023-09-19,6,18.96,113.76,14.6
ORD-000024,CONS-0421,LST-008187,FARM-0109,Brinjal,2023-03-26,1,26.75,26.75,3.4
ORD-000025,CONS-0149,LST-010531,FARM-0135,Tomato,2023-03-06,5,16.49,82.45,11.1
ORD-000026,CONS-0793,LST-004193,FARM-0053,Onion,2023-05-08,2,11.66,23.32,16.2
ORD-000027,CONS-0758,LST-007944,FARM-0106,Methi,2023-11-09,2,13.44,26.88,13.2
ORD-000028,CONS-0484,LST-005427,FARM-0068,Elephant Yam (Suran),2023-08-19,7,35.12,245.84,10.4
ORD-000029,CONS-0612,LST-006068,FARM-0080,Bhindi (Ladies finger),2023-09-08,8,18.06,144.48,5.2
ORD-000030,CONS-0325,LST-001302,FARM-0015,Methi,2023-07-30,7,10.38,72.66,13.1
ORD-000031,CONS-0156,LST-007326,FARM-0097,Tomato,2023-03-04,4,15.05,60.2,6.3
ORD-000032,CONS-0747,LST-007297,FARM-0096,Brinjal,2023-07-13,3,28.41,85.23,1.9
ORD-000033,CONS-0769,LST-010725,FARM-0138,Methi,2023-08-08,1,9.35,9.35,11.3
ORD-000034,CONS-0745,LST-007833,FARM-0104,Potato,2023-07-02,3,12.01,36.03,10.7
ORD-000035,CONS-0397,LST-001305,FARM-0015,Methi,2023-08-11,8,6.0,48.0,11.9
ORD-000036,CONS-0321,LST-008364,FARM-0110,Tomato,2023-10-12,4,17.24,68.96,3.4
ORD-000037,CONS-0373,LST-004789,FARM-0060,Methi,2023-08-23,6,10.0,60.0,18.7
ORD-000038,CONS-0330,LST-002885,FARM-0037,Tomato,2023-11-09,4,16.28,65.12,13.5
ORD-000039,CONS-0581,LST-001307,FARM-0015,Methi,2023-12-15,9,11.33,101.97,3.7
ORD-000040,CONS-0402,LST-008880,FARM-0116,Tomato,2023-09-19,6,17.79,106.74,20.9
ORD-000041,CONS-0628,LST-009140,FARM-0119,Tomato,2023-06-15,9,18.07,162.63,5.8
ORD-000042,CONS-0014,LST-011194,FARM-0144,Brinjal,2023-09-20,2,22.44,44.88,8.8
ORD-000043,CONS-0249,LST-010520,FARM-0135,Tomato,2023-01-27,3,16.58,49.74,13.1
ORD-000044,CONS-0199,LST-000373,FARM-0005,Onion,2023-08-04,6,15.31,91.86,8.1
ORD-000045,CONS-0328,LST-001456,FARM-0017,Methi,2023-04-24,1,13.85,13.85,8.8
ORD-000046,CONS-0532,LST-010644,FARM-0137,Bhindi (Ladies finger),2023-08-03,1,31.4,31.4,2.5
ORD-000047,CONS-0356,LST-000623,FARM-0008,Tomato,2023-06-20,2,17.29,34.58,11.6
ORD-000048,CONS-0556,LST-011106,FARM-0142,Methi,2023-08-03,4,7.92,31.68,6.4
ORD-000049,CONS-0395,LST-000386,FARM-0005,Onion,2023-03-27,8,12.17,97.36,4.6
ORD-000050,CONS-0723,LST-007286,FARM-0096,Brinjal,2023-05-12,1,21.56,21.56,4.4
ORD-000051,CONS-0519,LST-007875,FARM-0105,Bhindi (Ladies finger),2023-06-28,3,19.9,59.7,15.1
ORD-000052,CONS-0690,LST-000589,FARM-0007,Methi,2023-08-31,1,9.5,9.5,0.8
ORD-000053,CONS-0365,LST-006514,FARM-0086,Tomato,2023-08-03,5,17.26,86.3,7.5
ORD-000054,CONS-0266,LST-008070,FARM-0107,Elephant Yam (Suran),2023-04-13,3,18.18,54.54,8.3
ORD-000055,CONS-0748,LST-006004,FARM-0080,Green Chilli,2023-10-31,2,29.16,58.32,6.0
ORD-000056,CONS-0538,LST-004051,FARM-0052,Methi,2023-05-31,8,10.01,80.08,4.4
ORD-000057,CONS-0277,LST-001580,FARM-0019,Potato,2023-03-20,2,16.85,33.7,7.2
ORD-000058,CONS-0361,LST-001424,FARM-0017,Bhindi (Ladies finger),2023-10-14,4,22.33,89.32,6.4
ORD-000059,CONS-0511,LST-009132,FARM-0119,Tomato,2023-03-31,5,15.7,78.5,3.7
ORD-000060,CONS-0190,LST-001467,FARM-0017,Methi,2023-03-02,5,7.52,37.6,7.0
ORD-000061,CONS-0253,LST-007145,FARM-0093,Tomato,2023-07-27,3,14.35,43.05,10.0
ORD-000062,CONS-0293,LST-009125,FARM-0119,Tomato,2023-04-10,8,19.34,154.72,9.0
ORD-000063,CONS-0569,LST-010352,FARM-0132,Methi,2023-05-18,7,11.62,81.34,6.2
ORD-000064,CONS-0279,LST-000775,FARM-0009,Elephant Yam (Suran),2023-06-08,1,28.71,28.71,17.5
