order_id,consumer_id,farmer_id,crop,distance_km,quantity_kg,local_emissions_kg_co2,baseline_emissions_kg_co2,emissions_saved_kg_co2,pct_reduction_vs_baseline,sustainability_score
ORD-000000,CONS-0739,FARM-0005,Onion,7.7,4,0.0037,0.416,0.4123,99.1,99.1
ORD-000001,CONS-0410,FARM-0133,Potato,7.7,3,0.0028,0.312,0.3092,99.1,99.1
ORD-000002,CONS-0562,FARM-0029,Bhindi (Ladies finger),6.8,9,0.0073,0.936,0.9287,99.2,99.2
ORD-000003,CONS-0650,FARM-0088,Brinjal,5.9,8,0.0057,0.832,0.8263,99.3,99.3
ORD-000004,CONS-0534,FARM-0086,Tomato,2.9,1,0.0003,0.104,0.1037,99.7,99.7
ORD-000005,CONS-0633,FARM-0046,Methi,17.8,2,0.0043,0.208,0.2037,97.9,97.9
ORD-000006,CONS-0405,FARM-0128,Methi,19.5,7,0.0164,0.728,0.7116,97.7,97.7
ORD-000007,CONS-0412,FARM-0005,Elephant Yam (Suran),4.9,6,0.0035,0.624,0.6205,99.4,99.4
ORD-000008,CONS-0520,FARM-0041,Onion,11.8,7,0.0099,0.728,0.7181,98.6,98.6
ORD-000009,CONS-0368,FARM-0093,Tomato,9.5,3,0.0034,0.312,0.3086,98.9,98.9
ORD-000010,CONS-0311,FARM-0019,Brinjal,3.1,9,0.0033,0.936,0.9327,99.6,99.6
ORD-000011,CONS-0474,FARM-0104,Potato,7.6,7,0.0064,0.728,0.7216,99.1,99.1
ORD-000012,CONS-0553,FARM-0064,Tomato,3.7,4,0.0018,0.416,0.4142,99.6,99.6
ORD-000013,CONS-0728,FARM-0116,Methi,13.8,6,0.0099,0.624,0.6141,98.4,98.4
ORD-000014,CONS-0732,FARM-0135,Onion,14.3,2,0.0034,0.208,0.2046,98.4,98.4
ORD-000015,CONS-0414,FARM-0064,Tomato,9.2,9,0.0099,0.936,0.9261,98.9,98.9
ORD-000016,CONS-0637,FARM-0001,Methi,12.8,2,0.0031,0.208,0.2049,98.5,98.5
ORD-000017,CONS-0006,FARM-0056,Bhindi (Ladies finger),13.5,1,0.0016,0.104,0.1024,98.5,98.5
ORD-000018,CONS-0314,FARM-0135,Potato,12.9,2,0.0031,0.208,0.2049,98.5,98.5
ORD-000019,CONS-0583,FARM-0133,Potato,9.6,5,0.0058,0.52,0.5142,98.9,98.9
ORD-000020,CONS-0089,FARM-0123,Methi,5.8,6,0.0042,0.624,0.6198,99.3,99.3
ORD-000021,CONS-0247,FARM-0135,Tomato,9.4,7,0.0079,0.728,0.7201,98.9,98.9
ORD-000022,CONS-0319,FARM-0017,Methi,14.8,5,0.0089,0.52,0.5111,98.3,98.3
ORD-000023,CONS-0235,FARM-0138,Methi,14.6,6,0.0105,0.624,0.6135,98.3,98.3
ORD-000024,CONS-0421,FARM-0109,Brinjal,3.4,1,0.0004,0.104,0.1036,99.6,99.6
ORD-000025,CONS-0149,FARM-0135,Tomato,11.1,5,0.0067,0.52,0.5133,98.7,98.7
ORD-000026,CONS-0793,FARM-0053,Onion,16.2,2,0.0039,0.208,0.2041,98.1,98.1
ORD-000027,CONS-0758,FARM-0106,Methi,13.2,2,0.0032,0.208,0.2048,98.5,98.5
ORD-000028,CONS-0484,FARM-0068,Elephant Yam (Suran),10.4,7,0.0087,0.728,0.7193,98.8,98.8
ORD-000029,CONS-0612,FARM-0080,Bhindi (Ladies finger),5.2,8,0.005,0.832,0.827,99.4,99.4
ORD-000030,CONS-0325,FARM-0015,Methi,13.1,7,0.011,0.728,0.717,98.5,98.5
ORD-000031,CONS-0156,FARM-0097,Tomato,6.3,4,0.003,0.416,0.413,99.3,99.3
ORD-000032,CONS-0747,FARM-0096,Brinjal,1.9,3,0.0007,0.312,0.3113,99.8,99.8
ORD-000033,CONS-0769,FARM-0138,Methi,11.3,1,0.0014,0.104,0.1026,98.7,98.7
ORD-000034,CONS-0745,FARM-0104,Potato,10.7,3,0.0039,0.312,0.3081,98.8,98.8
ORD-000035,CONS-0397,FARM-0015,Methi,11.9,8,0.0114,0.832,0.8206,98.6,98.6
ORD-000036,CONS-0321,FARM-0110,Tomato,3.4,4,0.0016,0.416,0.4144,99.6,99.6
ORD-000037,CONS-0373,FARM-0060,Methi,18.7,6,0.0135,0.624,0.6105,97.8,97.8
ORD-000038,CONS-0330,FARM-0037,Tomato,13.5,4,0.0065,0.416,0.4095,98.4,98.4
ORD-000039,CONS-0581,FARM-0015,Methi,3.7,9,0.004,0.936,0.932,99.6,99.6
ORD-000040,CONS-0402,FARM-0116,Tomato,20.9,6,0.015,0.624,0.609,97.6,97.6
ORD-000041,CONS-0628,FARM-0119,Tomato,5.8,9,0.0063,0.936,0.9297,99.3,99.3
ORD-000042,CONS-0014,FARM-0144,Brinjal,8.8,2,0.0021,0.208,0.2059,99.0,99.0
ORD-000043,CONS-0249,FARM-0135,Tomato,13.1,3,0.0047,0.312,0.3073,98.5,98.5
ORD-000044,CONS-0199,FARM-0005,Onion,8.1,6,0.0058,0.624,0.6182,99.1,99.1
ORD-000045,CONS-0328,FARM-0017,Methi,8.8,1,0.0011,0.104,0.1029,98.9,98.9
ORD-000046,CONS-0532,FARM-0137,Bhindi (Ladies finger),2.5,1,0.0003,0.104,0.1037,99.7,99.7
ORD-000047,CONS-0356,FARM-0008,Tomato,11.6,2,0.0028,0.208,0.2052,98.7,98.7
ORD-000048,CONS-0556,FARM-0142,Methi,6.4,4,0.0031,0.416,0.4129,99.3,99.3
ORD-000049,CONS-0395,FARM-0005,Onion,4.6,8,0.0044,0.832,0.8276,99.5,99.5
ORD-000050,CONS-0723,FARM-0096,Brinjal,4.4,1,0.0005,0.104,0.1035,99.5,99.5
ORD-000051,CONS-0519,FARM-0105,Bhindi (Ladies finger),15.1,3,0.0054,0.312,0.3066,98.3,98.3
ORD-000052,CONS-0690,FARM-0007,Methi,0.8,1,0.0001,0.104,0.1039,99.9,99.9
ORD-000053,CONS-0365,FARM-0086,Tomato,7.5,5,0.0045,0.52,0.5155,99.1,99.1
ORD-000054,CONS-0266,FARM-0107,Elephant Yam (Suran),8.3,3,0.003,0.312,0.309,99.0,99.0
ORD-000055,CONS-0748,FARM-0080,Green Chilli,6.0,2,0.0014,0.208,0.2066,99.3,99.3
ORD-000056,CONS-0538,FARM-0052,Methi,4.4,8,0.0042,0.832,0.8278,99.5,99.5
ORD-000057,CONS-0277,FARM-0019,Potato,7.2,2,0.0017,0.208,0.2063,99.2,99.2
ORD-000058,CONS-0361,FARM-0017,Bhindi (Ladies finger),6.4,4,0.0031,0.416,0.4129,99.3,99.3
ORD-000059,CONS-0511,FARM-0119,Tomato,3.7,5,0.0022,0.52,0.5178,99.6,99.6
