crop,month,avg_temp_c,optimal_range,suitability_pct
Bhindi (Ladies finger),1,15.0,24-35°C,1.3
Bhindi (Ladies finger),2,15.4,24-35°C,0.7
Bhindi (Ladies finger),3,14.6,24-35°C,0.0
Bhindi (Ladies finger),4,12.1,24-35°C,0.0
Bhindi (Ladies finger),5,9.9,24-35°C,0.0
Bhindi (Ladies finger),6,7.3,24-35°C,0.0
Bhindi (Ladies finger),7,6.7,24-35°C,0.0
Bhindi (Ladies finger),8,7.9,24-35°C,0.0
Bhindi (Ladies finger),9,9.0,24-35°C,0.0
Bhindi (Ladies finger),10,10.3,24-35°C,0.0
Bhindi (Ladies finger),11,12.5,24-35°C,0.7
Bhindi (Ladies finger),12,13.9,24-35°C,0.0
Tomato,1,15.0,18-27°C,14.2
Tomato,2,15.4,18-27°C,16.0
Tomato,3,14.6,18-27°C,14.8
Tomato,4,12.1,18-27°C,3.7
Tomato,5,9.9,18-27°C,0.0
Tomato,6,7.3,18-27°C,0.0
Tomato,7,6.7,18-27°C,0.0
Tomato,8,7.9,18-27°C,0.0
Tomato,9,9.0,18-27°C,0.3
Tomato,10,10.3,18-27°C,0.6
Tomato,11,12.5,18-27°C,4.0
Tomato,12,13.9,18-27°C,6.2
Onion,1,15.0,13-24°C,74.5
Onion,2,15.4,13-24°C,84.0
Onion,3,14.6,13-24°C,67.4
Onion,4,12.1,13-24°C,37.7
Onion,5,9.9,13-24°C,14.2
Onion,6,7.3,13-24°C,0.3
Onion,7,6.7,13-24°C,0.3
Onion,8,7.9,13-24°C,1.6
Onion,9,9.0,13-24°C,8.3
Onion,10,10.3,13-24°C,18.1
Onion,11,12.5,13-24°C,37.7
Onion,12,13.9,13-24°C,60.4
Potato,1,15.0,15-20°C,41.6
Potato,2,15.4,15-20°C,46.8
Potato,3,14.6,15-20°C,37.7
Potato,4,12.1,15-20°C,18.7
Potato,5,9.9,15-20°C,2.3
Potato,6,7.3,15-20°C,0.0
Potato,7,6.7,15-20°C,0.0
Potato,8,7.9,15-20°C,0.0
Potato,9,9.0,15-20°C,3.7
Potato,10,10.3,15-20°C,4.2
Potato,11,12.5,15-20°C,16.7
Potato,12,13.9,15-20°C,28.2
Brinjal,1,15.0,21-30°C,3.9
Brinjal,2,15.4,21-30°C,4.6
Brinjal,3,14.6,21-30°C,3.9
Brinjal,4,12.1,21-30°C,0.3
Brinjal,5,9.9,21-30°C,0.0
Brinjal,6,7.3,21-30°C,0.0
Brinjal,7,6.7,21-30°C,0.0
Brinjal,8,7.9,21-30°C,0.0
Brinjal,9,9.0,21-30°C,0.0
Brinjal,10,10.3,21-30°C,0.0
Brinjal,11,12.5,21-30°C,2.0
Brinjal,12,13.9,21-30°C,0.3
Garlic,1,15.0,12-24°C,87.4
Garlic,2,15.4,12-24°C,90.4
Garlic,3,14.6,12-24°C,76.8
Garlic,4,12.1,12-24°C,50.0
Garlic,5,9.9,12-24°C,23.9
Garlic,6,7.3,12-24°C,1.7
Garlic,7,6.7,12-24°C,1.6
Garlic,8,7.9,12-24°C,3.9
Garlic,9,9.0,12-24°C,11.7
Garlic,10,10.3,12-24°C,26.1
Garlic,11,12.5,12-24°C,52.0
Garlic,12,13.9,12-24°C,79.5
Peas,1,15.0,10-18°C,85.5
Peas,2,15.4,10-18°C,84.0
Peas,3,14.6,10-18°C,80.0
Peas,4,12.1,10-18°C,70.3
Peas,5,9.9,10-18°C,52.3
Peas,6,7.3,10-18°C,17.3
Peas,7,6.7,10-18°C,8.7
Peas,8,7.9,10-18°C,17.7
Peas,9,9.0,10-18°C,35.0
Peas,10,10.3,10-18°C,51.9
Peas,11,12.5,10-18°C,77.7
Peas,12,13.9,10-18°C,91.6
Methi,1,15.0,15-27°C,48.1
Methi,2,15.4,15-27°C,52.8
Methi,3,14.6,15-27°C,44.2
Methi,4,12.1,15-27°C,19.3
Methi,5,9.9,15-27°C,2.3
Methi,6,7.3,15-27°C,0.0
Methi,7,6.7,15-27°C,0.0
Methi,8,7.9,15-27°C,0.0
Methi,9,9.0,15-27°C,3.7
Methi,10,10.3,15-27°C,4.2
Methi,11,12.5,15-27°C,18.7
Methi,12,13.9,15-27°C,31.2
Green Chilli,1,15.0,20-30°C,6.8
Green Chilli,2,15.4,20-30°C,6.4
Green Chilli,3,14.6,20-30°C,6.8
Green Chilli,4,12.1,20-30°C,0.7
Green Chilli,5,9.9,20-30°C,0.0
Green Chilli,6,7.3,20-30°C,0.0
Green Chilli,7,6.7,20-30°C,0.0
Green Chilli,8,7.9,20-30°C,0.0
Green Chilli,9,9.0,20-30°C,0.0
Green Chilli,10,10.3,20-30°C,0.0
Green Chilli,11,12.5,20-30°C,2.0
Green Chilli,12,13.9,20-30°C,2.9
Elephant Yam (Suran),1,15.0,25-35°C,0.6
Elephant Yam (Suran),2,15.4,25-35°C,0.7
Elephant Yam (Suran),3,14.6,25-35°C,0.0
Elephant Yam (Suran),4,12.1,25-35°C,0.0
Elephant Yam (Suran),5,9.9,25-35°C,0.0
Elephant Yam (Suran),6,7.3,25-35°C,0.0
Elephant Yam (Suran),7,6.7,25-35°C,0.0
Elephant Yam (Suran),8,7.9,25-35°C,0.0
Elephant Yam (Suran),9,9.0,25-35°C,0.0
Elephant Yam (Suran),10,10.3,25-35°C,0.0
Elephant Yam (Suran),11,12.5,25-35°C,0.0
Elephant Yam (Suran),12,13.9,25-35°C,0.0
